team_name,total_matches,total_wins,total_losses,win_rate,radiant_win_rate,dire_win_rate,avg_match_duration_min,avg_kills,avg_deaths,avg_assists,kda_ratio,avg_gpm,avg_xpm,avg_hero_damage,avg_tower_damage,avg_last_hits,avg_denies
PARIVISION,24,16,8,66.67,66.67,66.67,49.99236111111111,6.183333333333334,4.783333333333333,14.625,1.29,568.25,738.5916666666667,27099.766666666666,3727.2,369.55,7.725
Team Spirit,29,19,10,65.52,69.23,62.5,46.26264367816092,5.958620689655173,5.3517241379310345,13.53103448275862,1.11,543.2137931034483,708.744827586207,23204.655172413793,3539.310344827586,320.4689655172414,6.793103448275862
Nigma Galaxy,19,12,7,63.16,55.56,70.0,51.546491228070174,5.378947368421053,5.757894736842105,13.589473684210526,0.93,555.1789473684211,706.421052631579,30246.43157894737,3907.0947368421052,373.5052631578947,8.76842105263158
Tundra Esports,21,11,10,52.38,50.0,52.94,46.79206349206349,5.495238095238095,5.238095238095238,12.99047619047619,1.05,535.0761904761905,687.6761904761905,24637.980952380953,2971.0666666666666,317.74285714285713,6.580952380952381
Team Liquid,21,11,10,52.38,50.0,55.56,43.903174603174605,5.761904761904762,5.019047619047619,13.466666666666667,1.15,519.5619047619048,687.6285714285714,23564.504761904762,2893.0095238095237,300.8095238095238,8.314285714285715
Team Falcons,23,12,11,52.17,53.33,50.0,48.27246376811594,5.165217391304348,5.6695652173913045,11.043478260869565,0.91,549.2521739130435,725.5304347826087,24311.373913043477,3408.939130434783,353.6,9.130434782608695
Team Yandex,27,14,13,51.85,60.0,41.67,44.211728395061726,5.125925925925926,5.355555555555555,11.762962962962963,0.96,525.8,673.0814814814814,24300.422222222223,2804.259259259259,303.8,9.162962962962963
EHOME.immortal,16,8,8,50.0,71.43,33.33,45.23645833333333,5.9375,6.0625,14.1875,0.98,512.45,686.825,26719.625,2762.475,307.2,6.8125
BetBoom Team,24,12,12,50.0,53.33,44.44,45.509027777777774,4.391666666666667,4.325,10.333333333333334,1.02,517.0166666666667,654.5916666666667,21707.933333333334,2838.4416666666666,320.30833333333334,7.775
Aurora Gaming,14,7,7,50.0,57.14,42.86,42.476190476190474,5.642857142857143,4.685714285714286,12.785714285714286,1.2,521.7714285714286,659.2428571428571,23317.82857142857,2478.0142857142855,276.95714285714286,7.271428571428571
LGD Gaming,16,8,8,50.0,60.0,33.33,53.00833333333333,5.8375,5.8,14.1,1.01,553.7125,744.2,28770.6,3147.7625,390.85,6.3875
GamerLegion,14,6,8,42.86,25.0,66.67,44.90595238095238,5.085714285714285,4.671428571428572,11.514285714285714,1.09,504.42857142857144,643.2285714285714,21990.0,2648.557142857143,294.0285714285714,8.442857142857143
Vici Gaming,14,4,10,28.57,25.0,33.33,48.833333333333336,3.7142857142857144,5.642857142857143,9.385714285714286,0.66,499.1857142857143,625.6,21469.542857142857,1949.0285714285715,335.8142857142857,8.357142857142858
Xtreme Gaming,11,3,8,27.27,40.0,16.67,43.68181818181818,3.6545454545454543,5.327272727272727,8.272727272727273,0.69,473.45454545454544,605.9454545454546,21243.21818181818,1724.3818181818183,293.2,6.290909090909091
L1GA TEAM,10,2,8,20.0,33.33,14.29,45.855,2.98,5.68,7.42,0.52,486.06,581.24,18575.9,1930.06,314.3,6.46
OG,11,2,9,18.18,0.0,28.57,46.80909090909091,4.236363636363636,5.345454545454546,9.636363636363637,0.79,472.90909090909093,593.2181818181818,22559.854545454546,1555.4363636363637,302.8909090909091,6.7272727272727275
