match_id,radiant_team,dire_team,winner,duration_minutes
8942993144,Team Falcons,LGD Gaming,LGD Gaming,40.77
8943000927,Nigma Galaxy,Tundra Esports,Tundra Esports,27.48
8943010675,EHOME.immortal,PARIVISION,PARIVISION,41.95
8943013334,BetBoom Team,OG,BetBoom Team,45.37
8943034557,Team Falcons,LGD Gaming,Team Falcons,37.6
8943038404,Nigma Galaxy,Tundra Esports,Tundra Esports,54.4
8943053016,PARIVISION,EHOME.immortal,EHOME.immortal,48.3
8943055466,OG,BetBoom Team,BetBoom Team,36.92
8943072784,Team Falcons,LGD Gaming,Team Falcons,44.0
8943091110,Team Liquid,Vici Gaming,Team Liquid,60.17
8943097729,GamerLegion,Aurora Gaming,Aurora Gaming,72.82
8943098449,PARIVISION,EHOME.immortal,PARIVISION,32.43
8943142948,Team Yandex,L1GA TEAM,Team Yandex,25.25
8943143428,Team Spirit,Xtreme Gaming,Team Spirit,50.9
8943148045,Vici Gaming,Team Liquid,Team Liquid,38.1
8943171995,Aurora Gaming,GamerLegion,Aurora Gaming,42.9
8943182700,Team Yandex,L1GA TEAM,Team Yandex,48.78
8943200897,Xtreme Gaming,Team Spirit,Team Spirit,48.47
8943202720,BetBoom Team,Tundra Esports,BetBoom Team,53.95
8943235603,EHOME.immortal,LGD Gaming,EHOME.immortal,65.38
8943244303,Nigma Galaxy,OG,Nigma Galaxy,53.78
8943267925,Team Falcons,PARIVISION,Team Falcons,44.83
8943278347,BetBoom Team,Tundra Esports,Tundra Esports,44.68
8943324841,OG,Nigma Galaxy,Nigma Galaxy,74.35
8943332564,LGD Gaming,EHOME.immortal,LGD Gaming,76.1
8943357930,BetBoom Team,Tundra Esports,BetBoom Team,69.4
8943364918,Team Falcons,PARIVISION,PARIVISION,51.25
8943466067,LGD Gaming,EHOME.immortal,LGD Gaming,71.37
8943477775,PARIVISION,Team Falcons,PARIVISION,94.63
8944475884,Team Spirit,Aurora Gaming,Team Spirit,42.1
8944475901,Vici Gaming,L1GA TEAM,L1GA TEAM,47.13
8944475950,Team Yandex,Team Liquid,Team Yandex,52.45
8944476051,GamerLegion,Xtreme Gaming,GamerLegion,21.55
8944506550,Xtreme Gaming,GamerLegion,GamerLegion,47.2
8944521792,Aurora Gaming,Team Spirit,Team Spirit,43.65
8944521919,Vici Gaming,L1GA TEAM,Vici Gaming,45.07
8944525313,Team Liquid,Team Yandex,Team Liquid,39.62
8944553935,LGD Gaming,Nigma Galaxy,Nigma Galaxy,50.2
8944565060,BetBoom Team,PARIVISION,PARIVISION,36.9
8944566156,Vici Gaming,L1GA TEAM,Vici Gaming,54.25
8944570404,Team Liquid,Team Yandex,Team Liquid,38.17
8944602781,LGD Gaming,Nigma Galaxy,Nigma Galaxy,62.5
8944611964,Tundra Esports,Team Falcons,Tundra Esports,68.08
8944612322,PARIVISION,BetBoom Team,PARIVISION,68.6
8944628326,EHOME.immortal,OG,EHOME.immortal,54.6
8944676424,Vici Gaming,GamerLegion,GamerLegion,52.83
8944680063,Team Liquid,Team Spirit,Team Spirit,51.13
8944692094,OG,EHOME.immortal,EHOME.immortal,32.68
8944695348,Tundra Esports,Team Falcons,Team Falcons,47.35
8944738770,Xtreme Gaming,L1GA TEAM,Xtreme Gaming,48.12
8944742846,GamerLegion,Vici Gaming,Vici Gaming,63.18
8944752572,Team Spirit,Team Liquid,Team Liquid,36.18
8944764687,Tundra Esports,Team Falcons,Tundra Esports,48.25
8944814087,Xtreme Gaming,L1GA TEAM,Xtreme Gaming,38.97
8944819470,Team Liquid,Team Spirit,Team Spirit,49.23
8944834423,GamerLegion,Vici Gaming,Vici Gaming,37.95
8944841068,Team Yandex,Aurora Gaming,Team Yandex,42.13
8944931337,Aurora Gaming,Team Yandex,Aurora Gaming,40.35
8945052416,Team Yandex,Aurora Gaming,Aurora Gaming,33.87
8946161629,EHOME.immortal,Team Yandex,EHOME.immortal,64.07
8946161660,GamerLegion,Team Falcons,Team Falcons,63.87
8946161784,LGD Gaming,Xtreme Gaming,Xtreme Gaming,59.07
8946161801,L1GA TEAM,OG,OG,60.92
8946227017,L1GA TEAM,OG,L1GA TEAM,49.32
8946228107,Team Yandex,EHOME.immortal,Team Yandex,18.37
8946228708,Team Falcons,GamerLegion,GamerLegion,47.78
8946231092,LGD Gaming,Xtreme Gaming,LGD Gaming,49.12
8946260898,Team Yandex,EHOME.immortal,Team Yandex,30.33
8946283971,L1GA TEAM,OG,OG,40.75
8946285985,Team Falcons,GamerLegion,Team Falcons,41.28
8946288549,LGD Gaming,Xtreme Gaming,LGD Gaming,47.33
8946303764,Vici Gaming,Nigma Galaxy,Nigma Galaxy,55.45
8946337070,Team Liquid,Tundra Esports,Tundra Esports,46.7
8946343023,BetBoom Team,Aurora Gaming,Aurora Gaming,42.12
8946351114,Team Spirit,PARIVISION,PARIVISION,37.18
8946386614,Nigma Galaxy,Vici Gaming,Nigma Galaxy,39.62
8946414154,Team Liquid,Tundra Esports,Team Liquid,39.67
8946416702,Aurora Gaming,BetBoom Team,Aurora Gaming,33.83
8946428867,PARIVISION,Team Spirit,PARIVISION,53.83
8946495628,Team Liquid,Tundra Esports,Team Liquid,47.38
8946552436,EHOME.immortal,Xtreme Gaming,EHOME.immortal,34.2
8946563158,GamerLegion,OG,GamerLegion,34.48
8946572751,Vici Gaming,LGD Gaming,LGD Gaming,53.77
8946648249,Team Falcons,BetBoom Team,Team Falcons,39.17
8946649932,OG,GamerLegion,GamerLegion,31.73
8946650558,Xtreme Gaming,EHOME.immortal,EHOME.immortal,35.58
8946690366,LGD Gaming,Vici Gaming,LGD Gaming,52.55
8946735226,Team Yandex,Tundra Esports,Tundra Esports,39.8
8946740853,Aurora Gaming,Team Liquid,Aurora Gaming,27.6
8946758310,Team Falcons,BetBoom Team,BetBoom Team,38.72
8946858055,Nigma Galaxy,Team Spirit,Nigma Galaxy,59.27
8946860406,Team Liquid,Aurora Gaming,Team Liquid,35.5
8946872708,Team Yandex,Tundra Esports,Team Yandex,35.52
8946889239,Team Falcons,BetBoom Team,Team Falcons,44.95
8946996385,Aurora Gaming,Team Liquid,Team Liquid,41.87
8947008125,Team Yandex,Tundra Esports,Tundra Esports,54.23
8947050343,Team Spirit,Nigma Galaxy,Nigma Galaxy,61.02
8947983249,Vici Gaming,Team Falcons,Team Falcons,40.77
8948026518,BetBoom Team,Aurora Gaming,BetBoom Team,58.53
8948040486,Team Falcons,Vici Gaming,Team Falcons,42.83
8948094346,Team Spirit,EHOME.immortal,Team Spirit,29.57
8948094765,Aurora Gaming,BetBoom Team,BetBoom Team,37.4
8948151326,EHOME.immortal,Team Spirit,EHOME.immortal,49.12
8948155771,GamerLegion,Tundra Esports,Tundra Esports,37.02
8948235815,EHOME.immortal,Team Spirit,Team Spirit,39.73
8948244379,GamerLegion,Tundra Esports,Tundra Esports,34.08
8948311007,LGD Gaming,Team Yandex,LGD Gaming,31.43
8948420293,Team Yandex,LGD Gaming,Team Yandex,38.75
